# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov  4 07:43:34 2015
#
# CONSTRAINT:  order by kepid desc
#
# COLUMN kepid:          (not found)
# COLUMN tce_plnt_num:   Planet Number
# COLUMN tce_period:     Orbital Period [days]
# COLUMN tce_time0bk:    Transit Epoch [BKJD]
# COLUMN tce_duration:   Transit Duration [hrs]
# COLUMN tce_ingress:    Ingress Duration [hrs]
# COLUMN tce_depth:      Transit Depth [ppm]
#
rowid,kepid,tce_plnt_num,tce_period,tce_time0bk,tce_duration,tce_ingress,tce_depth
20216,12505654,1,5.186720,134.997,0.8140,1.8140000e-02,6.2880000e+02
20156,12505621,1,0.920165,132.380,2.8970,2.1590000e-02,6.3790000e+01
20157,12505621,2,0.632600,131.714,2.4570,1.7160000e-02,5.7360000e+01
20158,12505621,3,1.272580,132.743,4.6470,8.9530000e-02,1.3190000e+02
20155,12505503,1,3.432790,132.909,4.0680,6.2220000e-02,6.2550000e+01
20098,12505076,1,11.929700,136.675,6.2070,1.6450000e-01,6.9690000e+02
20096,12504988,1,5.093940,134.624,3.9460,8.3330000e-01,2.5270000e+04
20097,12504988,2,5.093940,132.078,3.4610,1.1860000e-01,7.6430000e+02
20036,12504353,1,498.701000,556.511,19.3400,2.6180000e+00,4.8220000e+02
20035,12470954,1,1.902210,132.406,2.1820,8.9890000e-02,2.2580000e+03
20033,12470844,1,8.472390,131.799,2.8200,2.2910000e-01,1.1510000e+03
20034,12470844,2,60.419100,181.160,5.0570,2.3350000e-01,9.3830000e+02
19975,12470709,1,0.512169,131.691,1.3240,3.1640000e-02,1.4640000e+02
19976,12470709,2,0.512179,131.945,1.8930,2.7570000e-02,1.3560000e+02
19916,12470530,1,8.207200,135.829,2.5000,8.3940000e-01,4.0670000e+05
19973,12470530,2,8.207260,133.627,3.5520,3.3580000e+00,1.3720000e+05
19974,12470530,3,8.207710,135.577,15.0000,1.7300000e+00,2.0910000e+04
19913,12470317,1,0.537281,131.762,1.4170,2.1140000e-02,2.6010000e+02
19914,12470317,2,0.537526,131.894,0.5862,4.8840000e-01,3.0510000e+01
19915,12470317,3,0.537276,131.639,1.6850,9.1720000e-02,6.9270000e+01
19912,12470041,1,14.667700,139.162,2.4000,3.5680000e+00,2.9250000e+04
19851,12469800,1,1.302010,131.941,1.3750,2.9840000e-02,3.3270000e+02
19850,12459913,1,12.913800,138.535,5.1570,1.0510000e-01,4.8670000e+02
19849,12459808,1,0.502406,131.965,1.6610,3.3110000e-03,3.8420000e+00
19793,12459731,1,14.180100,143.135,4.6890,2.9910000e+00,2.0350000e+05
19848,12459731,2,14.180400,135.776,5.5470,5.6900000e+00,5.3180000e+04
19792,12458817,1,15.099900,140.818,0.7447,2.1410000e-02,4.6570000e+02
19791,12458666,1,5.716350,134.256,15.3200,8.2660000e-02,2.8120000e+01
19731,12458605,1,7.785660,137.919,7.2170,4.6700000e-02,5.0780000e+01
19669,12458437,1,4.164830,132.639,8.3200,5.8170000e-02,5.0380000e+01
19728,12458437,2,4.164550,133.693,6.0670,3.6290000e-02,4.1760000e+01
19729,12458437,3,4.164560,134.565,12.2100,7.2570000e-02,4.2170000e+01
19730,12458437,4,45.118500,135.180,4.5680,2.0790000e-01,2.1250000e+02
19667,12457978,1,5.189640,133.552,12.9900,7.8870000e-02,4.2540000e+01
19668,12457978,2,1.997670,131.596,2.6920,1.0190000e+00,4.0920000e+01
19666,12456601,1,15.645900,146.049,3.8990,8.2090000e-02,5.5830000e+02
19607,12456063,1,17.800800,134.377,6.4060,7.7880000e-02,4.5790000e+01
19605,12455315,1,4.187110,133.522,6.7700,3.0940000e-01,4.4590000e+01
19606,12455315,2,1.395950,132.130,4.6090,2.4620000e-02,2.7740000e+01
19547,12454800,1,23.378900,143.269,6.1040,2.7530000e-01,7.7620000e+01
19546,12454461,1,7.467210,136.390,3.5270,3.3310000e-02,7.6140000e+01
19545,12454043,1,494.168000,558.672,3.3290,9.3160000e-02,8.9530000e+02
19544,12453851,1,1.982590,133.344,8.4650,7.9760000e-02,8.7810000e+00
19483,12453581,1,11.940100,136.560,2.7950,1.3180000e-01,6.4870000e+02
19482,12418966,1,0.774811,131.736,2.6970,2.7390000e-02,3.0880000e+01
19481,12418891,1,0.760897,131.665,1.8010,8.7940000e-02,1.2100000e+02
19424,12418816,1,0.760935,131.633,1.5000,3.7500000e-01,3.6190000e+05
19423,12418795,1,0.760919,131.642,1.5720,1.2030000e-02,3.9210000e+01
19422,12418724,1,20.553300,139.562,5.0690,1.6320000e-01,7.0250000e+02
19421,12418662,1,2.751580,131.562,4.8620,2.6170000e+00,7.0020000e+04
19420,12417739,2,3.209700,134.704,7.8950,6.1460000e-02,9.4820000e+00
20335,12417739,1,3.210830,133.037,3.0990,1.5320000e+00,1.2250000e+01
20334,12417486,1,155.042000,213.499,9.7720,1.8000000e+00,5.0220000e+03
20333,12417370,1,595.156000,334.679,6.4050,8.8640000e-02,1.1490000e+02
20332,12416987,1,119.083000,163.566,2.7020,1.3810000e+00,3.1080000e+03
20271,12416661,1,8.053310,134.962,5.4150,7.2690000e-02,3.8110000e+01
20270,12407623,1,1.181140,132.435,1.1980,1.4180000e-02,1.7670000e+02
20215,12407395,1,0.714228,131.743,2.1230,1.3330000e-02,3.7920000e+01
20269,12407395,2,0.547780,131.643,1.0950,4.7950000e-02,6.1480000e+00
20214,12406807,1,17.067800,145.568,5.9090,9.9120000e-02,2.7150000e+02
20213,12406749,1,56.358400,165.963,6.5180,1.4520000e+00,2.6200000e+03
20212,12406610,1,575.390000,185.568,11.9700,7.7670000e-02,4.1370000e+01
20152,12405950,1,3.539640,132.774,1.0700,3.5970000e-02,1.1140000e+03
20153,12405950,2,3.539610,134.365,0.9761,9.1370000e-02,3.2580000e+02
20154,12405950,3,0.885049,132.152,3.0780,1.1710000e-02,1.6900000e+01
20095,12405333,1,0.764874,132.123,1.3260,1.5780000e-02,1.6680000e+02
20094,12404954,1,3.247550,132.308,2.5200,5.7650000e-02,2.1700000e+02
20092,12404890,1,618.879000,250.927,2.5020,9.3790000e-02,1.0380000e+03
20093,12404890,2,459.338000,260.180,3.7630,1.9480000e-01,9.2760000e+02
20032,12404305,1,22.183300,147.313,5.2330,2.6410000e-01,7.5440000e+02
20031,12404086,1,26.394300,149.661,3.5330,1.4120000e-01,1.6480000e+03
20030,12403985,1,485.940000,535.544,8.2180,2.7240000e-01,5.5350000e+02
20029,12403968,1,0.589741,131.841,0.8005,5.4270000e-02,1.5540000e+02
19972,12403119,1,76.136200,199.478,8.1570,7.3100000e-01,2.9580000e+03
19971,12401863,1,2.832660,131.825,2.3290,2.4140000e-02,1.0830000e+02
19970,12401132,1,7.629710,136.453,3.9760,3.1860000e-01,3.3100000e+02
19907,12400984,1,1.917260,132.981,1.4360,1.1140000e-01,2.1620000e+02
19908,12400984,2,1.917260,131.569,1.4020,2.3940000e-02,1.6920000e+02
19909,12400984,3,0.639083,131.643,1.3930,1.8760000e-02,2.0930000e+02
19910,12400984,4,0.958549,131.839,2.9040,2.6000000e-02,9.2290000e+01
19911,12400984,5,2.797830,132.778,7.5000,6.1130000e-02,7.6480000e+01
19846,12400729,1,0.931828,131.535,1.4250,1.2080000e-01,1.7600000e+02
19847,12400729,2,0.931675,131.626,0.7040,3.4220000e-02,1.5320000e+03
19845,12400538,1,150.242000,138.290,11.0000,6.6430000e-01,2.3910000e+03
19790,12367464,1,1.853210,132.248,1.6740,7.0820000e-01,1.2030000e+04
19844,12367464,2,1.853220,133.174,1.1810,1.2070000e-01,3.7600000e+02
19788,12367310,1,8.627500,139.989,4.5930,8.1900000e+00,3.7210000e+04
19789,12367310,2,8.627420,135.744,5.1420,2.5710000e+00,4.8570000e+03
19727,12367017,1,1.222120,131.817,1.5730,1.6170000e-01,1.4090000e+03
19726,12366757,1,627.077000,158.489,10.3500,3.2060000e-01,4.9350000e+01
19665,12366084,1,4.431230,135.566,3.1540,1.3870000e-01,1.0350000e+03
19724,12366084,2,11.379400,133.851,2.7640,6.7370000e-01,1.0530000e+03
19725,12366084,3,0.589364,131.885,1.5350,1.2010000e-02,7.4660000e+01
19663,12365420,1,0.693625,131.738,1.8070,2.1160000e-02,2.1930000e+00
19664,12365420,2,0.693625,132.066,2.0530,8.3310000e-02,3.8350000e+01
19662,12365184,1,69.725400,196.109,3.6780,2.1320000e-01,4.4590000e+03
19603,12365015,1,0.594733,132.125,3.3390,2.6270000e-02,8.2460000e+01
19604,12365015,2,0.595865,131.939,1.5030,4.7910000e-02,7.1680000e+02
19601,12365000,1,1.262720,132.204,0.8948,1.6450000e-01,4.2540000e+03
19602,12365000,2,0.631396,131.572,2.0000,1.4350000e-01,7.2650000e+03
19543,12357103,1,0.518954,131.829,1.8740,1.4990000e-02,6.7150000e+01
19480,12356914,1,27.308300,143.495,3.0000,1.0070000e+00,3.9680000e+05
19539,12356914,2,27.308600,132.160,10.7200,3.8680000e+00,5.6670000e+04
19540,12356914,3,355.013000,307.543,12.0000,1.6680000e+00,3.0800000e+04
19541,12356914,4,436.628000,362.133,9.0270,5.5830000e-01,5.2540000e+03
19542,12356914,5,54.616600,143.301,10.5000,1.4600000e+00,3.0800000e+04
19478,12356746,1,0.502454,131.921,1.6160,2.9330000e-01,3.0630000e+04
19479,12356746,2,0.501441,131.642,1.5000,3.2770000e-02,5.7470000e+02
19477,12354328,1,0.803196,131.826,1.8320,6.2350000e-02,2.8930000e+02
19418,12353720,1,1.953280,133.144,1.1630,7.2680000e-02,1.1710000e+03
19419,12353720,2,1.953270,132.169,1.1470,1.2380000e-01,4.4400000e+02
19416,12353648,3,0.504566,131.877,1.5010,1.2480000e-02,8.1030000e+01
19417,12353648,4,1.009140,131.747,2.0000,1.4600000e-02,6.2160000e+01
20330,12353648,1,0.504559,131.629,1.0240,9.3490000e-02,3.1120000e+02
20331,12353648,2,0.504567,131.998,1.5000,1.1010000e-02,6.2740000e+01
20329,12353633,1,0.684479,131.923,2.3400,9.7530000e-03,1.9910000e+01
20328,12353501,1,459.293000,260.238,6.8150,1.1300000e-01,1.2730000e+02
20268,12352520,1,4.577040,132.095,0.9781,1.3370000e-01,7.3260000e+02
20267,12352485,1,376.025000,145.718,10.2300,2.2900000e-01,3.3420000e+02
20266,12352290,1,5.225030,136.365,14.6300,6.6750000e-02,2.2440000e+01
20211,12351927,1,10.116100,139.983,2.7150,2.1390000e+00,5.8560000e+04
20265,12351927,2,10.116100,134.884,2.4660,1.7340000e+00,5.9490000e+03
20210,12350110,1,603.765000,250.865,9.9420,1.4410000e-01,2.1560000e+02
20209,12349560,1,43.397100,153.937,5.0450,1.2560000e+00,5.5850000e+02
20150,12317342,1,1.468660,132.055,4.8120,4.6700000e-02,2.5900000e+01
20151,12317342,2,1.468790,132.401,2.4590,9.9480000e-03,1.9080000e+01
20091,12316447,1,17.907600,139.746,3.5000,1.1750000e+00,2.7460000e+05
20148,12316447,2,17.907700,134.895,5.7380,1.9920000e+00,2.4790000e+04
20149,12316447,3,17.908100,139.953,12.0000,1.0120000e+00,9.9160000e+03
20090,12316431,1,17.907700,139.744,5.3310,1.9890000e+00,1.0510000e+03
20089,12315060,1,0.662783,132.019,3.0850,4.7010000e-02,3.9260000e+01
20028,12314973,1,28.454900,148.251,8.1250,3.0230000e-01,1.4200000e+03
20088,12314973,2,15.413100,136.942,6.5680,9.3020000e-02,2.4680000e+02
20026,12314750,1,3.345120,132.259,9.9560,1.5030000e-01,7.0500000e+00
20027,12314750,2,3.346590,133.797,6.3980,1.7870000e-01,6.6250000e+00
20025,12314580,1,3.189000,134.498,7.8960,2.8670000e-01,2.6680000e+01
19969,12314444,1,389.188000,510.940,11.7900,2.8470000e-01,3.9380000e+02
19968,12306808,1,37.878500,138.129,10.6700,6.2970000e+00,2.2210000e+05
19967,12306699,1,3.204230,133.820,2.3320,8.1400000e-01,8.7890000e+02
19966,12306301,1,278.359000,165.165,4.1750,5.9130000e-02,2.5770000e+02
19906,12306284,1,2.989440,132.560,5.0410,3.4990000e-02,5.1650000e+01
19904,12306058,1,7.416760,137.966,7.0270,6.8830000e-02,6.5220000e+01
19905,12306058,2,20.485100,146.930,10.3700,1.6290000e-01,9.6570000e+01
19843,12305407,1,0.693281,131.899,2.7350,1.6130000e-02,2.3030000e+01
19903,12305407,2,1.928290,131.600,6.2040,3.6990000e-02,4.1520000e+01
19842,12304728,1,3.147420,133.368,3.4570,2.2580000e-02,4.7860000e+01
19841,12304202,1,0.665739,131.659,1.2700,9.8850000e-03,3.3820000e+01
19787,12304013,1,389.659000,399.561,12.1400,4.2330000e-01,1.3330000e+03
19785,12303426,1,0.988113,131.833,3.1430,2.9580000e-02,2.8350000e+01
19786,12303426,2,0.988106,132.329,3.7760,2.4720000e-02,2.4470000e+01
19722,12302530,1,5.931190,133.279,2.3080,6.7110000e-02,1.1680000e+03
19723,12302530,2,52.661600,183.520,3.1550,1.2500000e-01,1.2530000e+03
19784,12302530,3,265.563000,274.178,9.4580,3.3650000e-01,9.5460000e+02
19721,12302391,1,25.321700,139.687,4.6930,5.2390000e+00,1.2130000e+05
19720,12302104,1,678.232000,220.428,11.2700,1.3570000e+00,1.0910000e+03
19660,12301181,1,6.147280,134.877,2.7480,3.0210000e-02,1.2660000e+02
19661,12301181,2,2.185730,132.439,1.5360,5.8380000e-02,4.3540000e+01
19659,12300524,1,32.033400,146.811,5.2600,4.6680000e-02,8.2070000e+01
19600,12268579,1,1.202520,131.807,1.7780,5.0630000e-01,4.6460000e+01
19658,12268579,2,1.202470,132.452,1.5420,7.7120000e-01,6.0350000e+01
19599,12268408,1,369.848000,260.695,14.7500,1.8420000e-01,2.2720000e+02
19536,12268319,1,3.630830,133.874,7.0910,4.4040000e-02,2.4380000e+01
19537,12268319,2,3.630660,132.896,5.0070,2.0570000e-02,1.6220000e+01
19538,12268319,3,3.630720,135.081,8.8540,3.2770000e-02,1.2680000e+01
19598,12268319,4,7.261000,136.162,4.4680,2.7030000e-02,1.3630000e+01
19476,12268220,1,4.421570,134.396,7.3150,3.6570000e+00,4.8630000e+04
19535,12268220,2,4.421530,132.193,5.9980,1.1160000e+00,1.3840000e+03
19474,12268190,1,0.995574,132.085,3.0510,1.3720000e-02,2.3250000e+01
19475,12268190,2,1.991450,132.469,3.5050,1.7490000e-02,2.9300000e+01
19473,12267759,1,0.545027,131.644,1.8010,8.4740000e-03,7.1490000e-01
19414,12266636,1,33.385600,148.927,4.9510,1.1250000e-01,5.4890000e+02
19415,12266636,2,12.654900,134.675,4.4460,2.3410000e-01,9.4790000e+01
19413,12265786,1,0.597009,131.720,1.0370,1.1540000e-02,1.2600000e+02
19412,12265150,1,1.686000,133.063,1.0910,4.1430000e-02,4.1450000e+02
20327,12265078,1,404.855000,368.832,10.1700,1.6380000e-01,1.6560000e+02
20326,12258556,1,17.260800,142.435,1.4450,2.1650000e-02,2.1260000e+02
20324,12258330,1,2.497210,133.263,5.8490,1.3070000e-01,1.7890000e+01
20325,12258330,2,2.497100,132.099,5.5880,1.2310000e-01,1.7600000e+01
20263,12258300,1,2.480110,133.945,6.2060,1.6270000e-01,8.6410000e+00
20264,12258300,2,0.826665,131.741,2.8720,3.1870000e-02,4.6690000e+00
20262,12257999,1,18.556000,132.064,5.2380,1.1280000e-01,5.5160000e+02
20208,12257886,1,2.615840,132.429,6.0360,6.1840000e-02,1.2770000e+02
20207,12257851,1,1.307960,132.403,1.7490,1.7310000e+00,5.9680000e+01
20147,12257449,1,0.967286,132.402,1.1710,8.9670000e-02,2.1590000e+02
20205,12257449,2,4.646240,134.154,16.4700,2.3440000e-01,2.1650000e+02
20206,12257449,3,0.524760,131.900,1.7830,8.3200000e-02,7.5380000e+01
20146,12256520,1,33.240700,143.468,5.4650,1.2650000e+00,3.6190000e+02
20087,12255382,1,0.999321,131.631,1.4410,8.0370000e-03,3.0550000e+01
20145,12255382,2,0.999309,132.140,1.5190,1.5160000e-02,2.7970000e+01
20086,12254909,1,5.349770,133.886,4.2630,2.1030000e-01,8.2470000e+01
20085,12254792,1,40.428600,139.508,6.4990,2.2660000e-01,9.6150000e+02
20084,12254752,1,0.851447,131.629,3.1320,4.8190000e-02,1.2880000e+01
20024,12254688,1,62.682300,182.231,1.6050,4.7010000e-02,3.1850000e+02
20023,12254419,1,1.132930,132.488,4.3290,8.7880000e-03,4.1100000e+00
19965,12254389,1,1.241000,132.105,4.4830,5.1250000e-02,5.8560000e+00
20022,12254389,2,1.240940,132.670,3.3120,4.7710000e-02,6.3900000e+00
19964,12254378,1,2.032280,132.333,1.6850,2.9690000e-02,3.0120000e+02
19963,12253769,1,20.551500,141.079,3.9530,6.6480000e-02,1.9050000e+02
19962,12253624,1,645.183000,260.666,10.4300,2.5680000e-01,2.0000000e+02
19902,12253534,1,466.041000,166.285,11.5000,4.6800000e-01,2.3410000e+02
19901,12253490,1,19.159800,141.568,3.0980,2.9720000e+00,3.2430000e+04
19900,12253474,1,6.422950,135.552,1.1830,1.8250000e-02,2.4850000e+02
19899,12253106,1,4.090410,131.739,10.2100,2.1910000e-02,4.4640000e+00
19839,12252424,1,4.754000,133.300,2.4790,6.4180000e-02,7.3930000e+02
19840,12252424,2,8.925070,139.714,2.5810,6.9550000e-02,9.7050000e+02
19783,12251779,1,14.844200,134.234,6.8360,1.5570000e+00,8.4030000e+04
19838,12251779,2,14.844200,145.231,5.4450,9.6310000e-01,3.9630000e+03
19782,12251650,1,17.762000,138.659,2.4780,1.6140000e+00,2.4250000e+04
19781,12218917,1,459.265000,260.307,4.1650,1.1180000e-01,9.0950000e+02
19719,12217907,1,43.204600,146.598,15.0800,5.1180000e+00,2.1590000e+05
19780,12217907,2,43.204600,160.913,7.5070,2.0050000e+00,6.2090000e+04
19717,12217866,1,523.804000,364.105,6.2330,1.7020000e-01,6.6110000e+02
19718,12217866,2,557.512000,355.579,14.5700,3.5330000e-01,4.9050000e+02
19716,12217824,1,0.914416,131.843,3.5490,4.7880000e-02,5.7930000e+01
19657,12217403,1,68.623800,174.793,14.3900,1.3500000e-01,8.5470000e+01
19656,12217283,1,5.882980,132.677,14.6600,2.6810000e-01,2.8910000e+01
19655,12217281,1,0.627434,132.022,1.9460,6.2050000e-03,6.3570000e+00
19597,12216706,1,1.471070,132.274,3.5770,3.3450000e+00,1.3380000e+05
19596,12216278,1,2.019490,132.928,3.5380,5.9830000e-02,2.2970000e+02
19532,12216210,1,1.256430,132.749,1.3220,4.6380000e-03,8.4010000e-02
19533,12216210,2,3.993300,133.667,3.5520,2.9390000e-02,4.9760000e+01
19534,12216210,3,1.254670,132.733,2.5250,1.2110000e-03,1.3480000e-03
19594,12216210,4,3.993270,133.205,2.3600,1.5290000e-02,4.9570000e+01
19595,12216210,5,0.838304,131.633,3.8580,1.9160000e-02,2.7600000e+01
19472,12208887,1,53.502300,132.206,3.5000,1.1750000e+00,4.6410000e+05
19530,12208887,2,53.501800,159.447,11.7800,1.3440000e+01,6.9560000e+04
19531,12208887,3,80.251600,158.735,15.0000,1.9600000e+00,2.7050000e+04
19468,12208769,1,4.188790,135.507,6.8930,3.0890000e-01,3.9300000e+01
19469,12208769,2,4.189210,134.528,5.3110,2.6550000e+00,7.9730000e+01
19470,12208769,3,4.188610,133.861,7.2380,4.7590000e-02,4.9600000e+01
19471,12208769,4,4.186760,132.885,9.7280,5.9030000e-02,4.3300000e+01
